w(99,1,0,0,0)
w(35,1,0,1,1)
w(90,1,0,2,2)
w(59,1,0,3,3)
w(31,1,0,4,4)
w(18,1,0,5,5)
w(16,1,0,6,6)
w(73,1,0,7,7)
r(6,0,0,8,8)
w(85,1,0,9,9)
w(62,1,0,10,10)
w(46,1,0,11,11)
w(0,1,0,12,12)
w(70,1,0,13,13)
w(21,1,0,14,14)
w(11,1,0,15,15)
w(96,1,0,16,16)
w(63,1,0,17,17)
w(73,2,0,18,18)
w(12,1,0,19,19)
w(55,1,0,20,20)
w(64,1,0,21,21)
w(28,1,0,22,22)
w(88,1,0,23,23)
w(10,1,0,24,24)
w(12,2,0,25,25)
w(29,1,0,26,26)
w(41,1,0,27,27)
w(64,2,0,28,28)
w(17,1,0,29,29)
w(62,2,0,30,30)
w(61,1,0,31,31)
w(90,2,0,32,32)
w(92,1,0,33,33)
w(38,1,0,34,34)
w(82,1,0,35,35)
w(44,1,0,36,36)
w(19,1,0,37,37)
w(40,1,0,38,38)
w(99,2,0,39,39)
w(70,2,0,40,40)
w(92,2,0,41,41)
w(89,1,0,42,42)
w(36,1,0,43,43)
w(32,1,0,44,44)
w(20,1,0,45,45)
w(37,1,0,46,46)
w(70,3,0,47,47)
w(38,2,0,48,48)
w(91,1,0,49,49)
w(24,1,0,50,50)
w(59,2,0,51,51)
w(80,1,0,52,52)
w(35,2,0,53,53)
w(83,1,0,54,54)
w(21,2,0,55,55)
w(21,3,0,56,56)
w(85,2,0,57,57)
r(36,1,0,58,58)
w(62,3,0,59,59)
w(50,1,0,60,60)
w(64,3,0,61,61)
w(68,1,0,62,62)
w(45,1,0,63,63)
w(47,1,0,64,64)
w(55,2,0,65,65)
w(93,1,0,66,66)
w(85,3,0,67,67)
w(10,2,0,68,68)
w(71,1,0,69,69)
w(44,2,0,70,70)
w(46,2,0,71,71)
w(22,1,0,72,72)
w(92,3,0,73,73)
w(40,2,0,74,74)
w(45,2,0,75,75)
w(23,1,0,76,76)
w(56,1,0,77,77)
w(18,2,0,78,78)
r(98,0,0,79,79)
w(8,1,0,80,80)
w(76,1,0,81,81)
w(10,3,0,82,82)
w(91,2,0,83,83)
w(41,2,0,84,84)
w(65,1,0,85,85)
w(77,1,0,86,86)
w(72,1,0,87,87)
w(79,1,0,88,88)
r(44,2,0,89,89)
w(30,1,0,90,90)
w(27,1,0,91,91)
w(37,2,0,92,92)
w(3,1,0,93,93)
r(82,1,0,94,94)
w(71,2,0,95,95)
w(5,1,0,96,96)
w(77,2,0,97,97)
w(30,2,0,98,98)
r(88,1,0,99,99)
w(94,1,0,100,100)
w(68,2,0,101,101)
w(38,3,0,102,102)
w(63,2,0,103,103)
w(22,2,0,104,104)
w(23,2,0,105,105)
w(25,1,0,106,106)
w(28,2,0,107,107)
w(81,1,0,108,108)
r(58,0,0,109,109)
w(36,2,0,110,110)
w(2,1,0,111,111)
w(2,2,0,112,112)
w(6,1,0,113,113)
w(27,2,0,114,114)
w(99,3,0,115,115)
w(2,3,0,116,116)
r(46,2,0,117,117)
r(65,1,0,118,118)
w(11,2,0,119,119)
w(14,1,0,120,120)
w(2,4,0,121,121)
w(45,3,0,122,122)
w(87,1,0,123,123)
w(36,3,0,124,124)
w(52,1,0,125,125)
w(13,1,0,126,126)
w(72,2,0,127,127)
r(59,2,0,128,128)
w(75,1,0,129,129)
