r(4,0,0,0,0)
r(64,0,0,1,1)
w(15,1,0,2,2)
w(91,1,0,3,3)
r(5,0,0,4,4)
w(6,1,0,5,5)
w(15,2,0,6,6)
r(33,0,0,7,7)
w(0,1,0,8,8)
w(26,1,0,9,9)
r(30,0,0,10,10)
r(8,0,0,11,11)
r(64,0,0,12,12)
r(0,1,0,13,13)
w(8,1,0,14,14)
w(16,1,0,15,15)
w(3,1,0,16,16)
w(11,1,0,17,17)
w(70,1,0,18,18)
w(8,2,0,19,19)
w(23,1,0,20,20)
r(0,1,0,21,21)
r(2,0,0,22,22)
w(1,1,0,23,23)
w(0,2,0,24,24)
w(3,2,0,25,25)
w(8,3,0,26,26)
r(25,0,0,27,27)
w(21,1,0,28,28)
r(2,0,0,29,29)
r(1,1,0,30,30)
r(92,0,0,31,31)
w(1,2,0,32,32)
r(25,0,0,33,33)
w(50,1,0,34,34)
r(8,3,0,35,35)
w(0,3,0,36,36)
r(54,0,0,37,37)
r(10,0,0,38,38)
w(25,1,0,39,39)
w(0,4,0,40,40)
w(9,1,0,41,41)
w(0,5,0,42,42)
w(2,1,0,43,43)
w(25,2,0,44,44)
r(0,5,0,45,45)
r(6,1,0,46,46)
r(7,0,0,47,47)
r(1,2,0,48,48)
r(31,0,0,49,49)
w(16,2,0,50,50)
w(0,6,0,51,51)
w(2,2,0,52,52)
w(12,1,0,53,53)
w(85,1,0,54,54)
w(82,1,0,55,55)
w(2,3,0,56,56)
r(2,3,0,57,57)
w(0,7,0,58,58)
w(3,3,0,59,59)
r(0,7,0,60,60)
w(85,2,0,61,61)
r(18,0,0,62,62)
w(22,1,0,63,63)
w(76,1,0,64,64)
w(2,4,0,65,65)
w(47,1,0,66,66)
r(19,0,0,67,67)
w(98,1,0,68,68)
w(2,5,0,69,69)
r(4,0,0,70,70)
w(0,8,0,71,71)
r(3,3,0,72,72)
r(0,8,0,73,73)
r(7,0,0,74,74)
w(12,2,0,75,75)
r(0,8,0,76,76)
w(1,3,0,77,77)
w(0,9,0,78,78)
r(4,0,0,79,79)
r(2,5,0,80,80)
w(76,2,0,81,81)
w(24,1,0,82,82)
w(3,4,0,83,83)
r(1,3,0,84,84)
w(16,3,0,85,85)
w(4,1,0,86,86)
w(0,10,0,87,87)
w(0,11,0,88,88)
w(17,1,0,89,89)
r(2,5,0,90,90)
w(82,2,0,91,91)
r(7,0,0,92,92)
r(26,1,0,93,93)
r(20,0,0,94,94)
r(39,0,0,95,95)
r(6,1,0,96,96)
r(82,2,0,97,97)
w(0,12,0,98,98)
r(39,0,0,99,99)
w(5,1,1,0,0)
r(10,0,1,1,1)
r(85,2,1,2,2)
w(94,1,1,3,3)
w(1,4,1,4,4)
r(4,1,1,5,5)
r(0,12,1,6,6)
r(11,1,1,7,7)
r(59,0,1,8,8)
w(0,13,1,9,9)
r(4,1,1,10,10)
r(56,0,1,11,11)
r(59,0,1,12,12)
w(13,1,1,13,13)
r(0,13,1,14,14)
r(82,2,1,15,15)
w(13,2,1,16,16)
r(4,1,1,17,17)
w(61,1,1,18,18)
r(0,13,1,19,19)
r(0,13,1,20,20)
r(2,5,1,21,21)
w(21,2,1,22,22)
w(1,5,1,23,23)
r(71,0,1,24,24)
r(6,1,1,25,25)
w(10,1,1,26,26)
w(0,14,1,27,27)
w(4,2,1,28,28)
r(4,2,1,29,29)
w(25,3,1,30,30)
w(3,5,1,31,31)
r(55,0,1,32,32)
w(3,6,1,33,33)
w(23,2,1,34,34)
r(0,14,1,35,35)
w(1,6,1,36,36)
r(16,3,1,37,37)
r(2,5,1,38,38)
w(1,7,1,39,39)
r(2,5,1,40,40)
w(20,1,1,41,41)
